id,reason,title,reading,meaning_vi,raw_sample
N2-vocab-0246,title_not_contiguous_in_raw_pdf_split,日差し,ひざし,,ひ / ざ / 意味 / 太陽の光のこと / 日差 / し
N2-vocab-0390,title_not_contiguous_in_raw_pdf_split,便・便,びんべん,Phương tiện vận chuyển/ Tiện ích,びん / 意味 / 便 / :人や物を運ぶこと・またその手段 / ポイント / 人を動かす交通機関 / びん / べん / 物を送る手段 / 便 / ・便 / べん / 便 / :場合、具合 / 交通の便がいい、悪い / ・ 「3 時の便で、ハノイからホーチミンに / 例文 / Phương tiện / いく予定です」 / vận chuyển/ / ・ ここは交通の便がいい。バスも、電車もここ / Tiện ích / を通る。 / →交通の便
N2-vocab-0404,title_not_contiguous_in_raw_pdf_split,(銀行)口座,ぎんこうこうざ,Tài khoản (ngân hàng),意味 / お金を銀行に預けるために自分の貯金箱をつくること / ぎんこう / こうざ / ポイント / _開設 / (銀行 / )口座 / _を持つ / Tài khoản (ngân hàng) / 例文 / ・お給料を振り込むので銀行口座を教えて下さい。
N2-vocab-0414,title_not_contiguous_in_raw_pdf_split,眺める,ながめる,"Nhìn, ngắm","なが / 意味 / いい景色、絵、人をゆっくり見ること / 眺 / める / ・ 海を眺めていると心が落ち着く。 / 例文 / Nhìn, ngắm / ・ 窓からの眺めがいいホテル"
N2-vocab-0415,title_not_contiguous_in_raw_pdf_split,感心する,かんしんする,Ngưỡng mộ,・ 窓からの眺めがいいホテル / 意味 / すごいこと、悲しいこと+感動 / かんしん / 感心 / する / ・ 毎日朝早くきて仕事の準備や掃除をしている / 例文 / Ngưỡng mộ / なんて。本当に感心しました。
N2-vocab-0417,title_not_contiguous_in_raw_pdf_split,尽きる,つきる,Cạn kiệt,すべて発揮してできました。 / つ / 意味 / 少しずつ減って、すべてなくなること / 尽 / きる / ちょきん / 例文 / ・ 今月は旅行に行きすぎて貯金 / が尽きてしまい / Cạn kiệt / そうだ。 / ・ 話が尽きない〜
N2-vocab-0418,title_not_contiguous_in_raw_pdf_split,相次ぐ,あいつぐ,Liên tục/Nối tiếp,・ 話が尽きない〜 / あいつ / 意味 / 続いて起こる / 相次 / ぐ / とうさん / 例文 / Liên tục/Nối tiếp / ・コロナによって会社の倒産 / が相次いでいる。
N2-vocab-0422,title_not_contiguous_in_raw_pdf_split,縮む,ちぢむ,Co lại/ Rút ngắn,・ 来週は日程がぎっしり詰まっている / 意味 / ➀ 中身が減ったりして、小さくなること。 / ➁ 期間・時間・体が短くなる / ちぢ / ポイント / 縮 / む / セーター/風船...が__ / 背/納期が__ / Co lại/ / 例文 / ・洗濯したらセーターが縮んでしまった。 / Rút ngắn / ・年を取ると背が縮んでくる。
N2-vocab-0423,title_not_contiguous_in_raw_pdf_split,叶う,かなう,Trở thành sự thực,意味 / 願っていたことがその通りになること / かの / 叶 / う / ポイント / 願い/夢が__ / ・ プロサッカー選手になるという夢が24 歳で / 例文 / Trở thành sự thực / 叶った。
N2-vocab-0424,title_not_contiguous_in_raw_pdf_split,追う,おう,"Đuổi, đuổi theo","意味 / 先にあるものをついていくこと / お / 人の後を__ / 追 / う / 人、理想、夢を__ / ・ 学生達は走って先生の後を追った。 / 例文 / Đuổi, đuổi theo / ・ 私はいくつになっても理想を追い続けたい。 / 関連語彙 / 類: 人を追いかける: Theo đuổi... / 幸せ、夢、理想を追求する: Theo đuổi..."
N2-vocab-0425,title_not_contiguous_in_raw_pdf_split,俯く,うつむく,Cúi đầu,幸せ、夢、理想を追求する: Theo đuổi... / 意味 / 首を少し曲げて頭を下げること / うつむ / 俯 / く / すみ / 例文 / Cúi đầu / ・ 教室の隅 / に知らない女の人がうつむいて / 立っていた。
N2-vocab-0429,title_not_contiguous_in_raw_pdf_split,終える,おえる,"Hoàn thành, kết thúc","お / 意味 / その時まで続けていたことを完了してやめること。 / 終 / える / ・ 今日は6 時までに仕事を終えて退社する / 例文 / Hoàn thành, / つもりだ。 / kết thúc / しょうがい / ・ 祖父は家族に見守られて90 年の生涯 / を終えた。"
N2-vocab-0430,title_not_contiguous_in_raw_pdf_split,偏る,かたよる,"Nghiêng, thiếu/ Thiên về/ Lệch lạc","1 正しい状態からずれていること / 意味 / かたよ / 偏 / る / ポイント / 栄養が__ / ・ 栄養が偏っている理由はインスタント食品ばかり / 例文 / Nghiêng, thiếu/ / 食べるからです。 / Thiên về/ / Lệch lạc / 意味 / 2 正しい状態からずれていること / ポイン / 栄養が、意見が__ / ・ 偏った食習慣を改善しましょう / 例文 / 意味 / 3 極端 / ポイン / 偏った"
N2-vocab-0432,title_not_contiguous_in_raw_pdf_split,目指す,めざす,Nhắm đến,意味 / いい意見や方法が選ばれること / め / ざ / ポイント / 歌手/医者を__ / 目指 / す / 売上50万を__ / Nhắm đến / ・メネージャーを目指して日々頑張っている / 例文
N2-vocab-0436,title_not_contiguous_in_raw_pdf_split,甘やかす,あまやかす,Nuông chiều,→ 問題に当たる / 意味 / 厳しくせずに、わがままにさせておくこと / あま / 甘 / やかす / ポイント / ある人を__(よくない意味) / ・ あの夫婦はこどもにお菓子をあげたり、遊んだり / Nuông chiều / 例文 / 甘やかしてばかりだ。
N2-vocab-0442,title_not_contiguous_in_raw_pdf_split,悔やむ,くやむ,"Hối hận, tiếc nuối","意味 / 自分で言ったこと・したことを後悔すること / く / 悔 / やむ / ポイント / 書き言葉 / 例文 / ・過ぎたことを今さら悔やんでもしょうがない。 / Hối hận, tiếc nuối"
